"","bin","OCCURRED","LAG"
"8",67,01/08/12,  0
"9",67,01/08/12,  0
"10",67,01/08/12,  0
"14",219,12/31/11,  0
"15",424,12/31/11,  0
"44",55,12/31/11,  0
"45",13,12/31/11,  0
"46",269,12/31/11,  0
"47",269,12/31/11,  0
"226",242,12/30/11,  0
"227",315,12/30/11,  0
"228",446,12/30/11,  0
"229",529,12/30/11,  0
"230",528,12/30/11,  0
"231",242,12/30/11,  0
"232",529,12/30/11,  0
"386",272,12/29/11,  0
"387",546,12/29/11,  0
"388",272,12/29/11,  0
"389",174,12/29/11,  0
"390",272,12/29/11,  0
"391",546,12/29/11,  0
"557",547,12/28/11,  0
"558",319,12/28/11,  0
"559",419,12/28/11,  0
"716",20,12/27/11,  0
"717",79,12/27/11,  0
"718",447,12/27/11,  0
"719",447,12/27/11,  0
"720",528,12/27/11,  0
"721",20,12/27/11,  0
"875",51,12/26/11,  0
"876",29,12/26/11,  0
"1033",55,12/25/11,  0
"1034",55,12/25/11,  0
"1158",20,12/24/11,  0
"1159",55,12/24/11,  0
"1327",219,12/23/11,  0
"1328",55,12/23/11,  0
"1329",136,12/23/11,  0
"1330",136,12/23/11,  0
"1331",55,12/23/11,  0
"1498",269,12/22/11,  0
"1499",359,12/22/11,  0
"1500",179,12/22/11,  0
"1677",270,12/21/11,  0
"1678",68,12/21/11,  0
"1679",122,12/21/11,  1
"1680",173,12/21/11,  0
"1681",509,12/21/11,  0
"1682",68,12/21/11,  0
"1865",424,12/20/11,  0
"1866",79,12/20/11,  1
"1867",318,12/20/11,  0
"1868",244,12/20/11,  0
"1869",424,12/20/11,  0
"2042",79,12/19/11,  0
"2043",387,12/19/11,  0
"2046",135,12/19/11,  0
"2047",387,12/19/11,  0
"2161",79,12/19/11,  0
"2162",387,12/19/11,  0
"2165",135,12/19/11,  0
"2166",387,12/19/11,  0
"2342",66,12/18/11,  0
"2343",362,12/18/11,  0
"2344",362,12/18/11,  0
"2345",55,12/18/11,  0
"2479",66,12/18/11,  0
"2480",362,12/18/11,  0
"2481",362,12/18/11,  0
"2482",55,12/18/11,  0
"2668",53,12/17/11,  0
"2669",421,12/17/11,  0
"2773",53,12/17/11,  0
"2774",421,12/17/11,  0
"2906",53,12/16/11,  0
"2907",413,12/16/11,  1
"3048",53,12/16/11,  0
"3049",413,12/16/11,  1
"3235",513,12/15/11,  0
"3236",513,12/15/11,  0
"3237",90,12/15/11,  0
"3238",62,12/15/11,  0
"3239",513,12/15/11,  0
"3391",513,12/15/11,  0
"3392",513,12/15/11,  0
"3393",90,12/15/11,  0
"3394",62,12/15/11,  0
"3395",513,12/15/11,  0
"3567",469,12/14/11,  0
"3569",529,12/14/11,  0
"3570",132,12/14/11,  0
"3571",531,12/14/11,  0
"3572",132,12/14/11,  0
"3573",109,12/14/11,  0
"3768",469,12/14/11,  0
"3770",529,12/14/11,  0
"3771",132,12/14/11,  0
"3772",531,12/14/11,  0
"3773",132,12/14/11,  0
"3774",109,12/14/11,  0
"3965",76,12/13/11,  0
"3966",448,12/13/11,  0
"4007",546,12/13/11,  0
"4008",76,12/13/11,  0
"4138",546,12/13/11,  0
"4139",76,12/13/11,  0
"4279",66,12/12/11,  0
"4280",488,12/12/11,  0
"4281",315,12/12/11,  0
"4282",102,12/12/11,  0
"4283",102,12/12/11,  0
"4507",494,12/11/11,  0
